channelid,last_30_views,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,sub_range,last_30_eng
UC-0_qmPw6_KOmyRN5SIT9bg,651,2507,235535,37,22,People & Blogs,high,low,medium,2
UC-0bDfJQAcRmOAgbzUlcF-g,10740,352435,49566648,1163,22,People & Blogs,high,medium,high,2
UC-2EC5fsTQrrpAi2JoQ5Glg,55,3690,178238,128,22,People & Blogs,high,low,medium,2
UC-2w3kGFPtCEiBs_5c0njkw,10693,38425,16790895,895,17,Sports,high,low,medium,32
UC-59LlLokQqtoYKZY68cizA,89971,291599,52434001,1386,10,Music,high,medium,high,90
UC-6pGrQ0LnB7JR7-g9txCUw,8370,83245,13590283,456,10,Music,high,low,medium,62
UC-8g0HshRxIlzz1pCgfDLZw,3495,31039,1621598,797,1,Film & Animation,medium,low,medium,4
UC-9BFuyugQl4fF2fjdWzdZA,58211,268169,8717429,326,27,Education,medium,low,high,2
UC-BEKbBI30BmSiycFfQuxPw,88,8235,1207357,86,10,Music,medium,low,medium,3
UC-Dhnn0heSEn43826q90ZKA,65,8347,1120620,211,20,Gaming,medium,low,medium,1
UC-FagGSZFqGLR07ol8uyB3g,55080,809065,310194261,1778,19,Travel & Events,high,medium,high,160
UC-G2eVFQy2z59SBoSjE4d5A,50822,404103,41061859,118,27,Education,high,low,high,1
UC-HzMRO1inWp2y3F9Iur17Q,6228,17187,1541133,46,19,Travel & Events,medium,low,medium,4
UC-IOaFbOlm-PKlv1632SkVg,50,1933,332745,385,22,People & Blogs,high,low,medium,3
UC-Kb9CAfJla8jMOLi8uj3AQ,49918,834014,39729688,235,26,Howto & Style,high,low,high,1
UC-LTLL6IUsk4FevB4KlV1zw,215,3964,496225,231,22,People & Blogs,high,low,medium,3
UC-N2GFf6Dmna8NZ51vO--Lg,30087,795301,95314035,485,26,Howto & Style,high,low,high,30
UC-Oonlp64WmcH89PtcKD6pw,286,8199,920839,3210,25,News & Politics,low,medium,medium,1
UC-OuA79MtJ4L7cGhpVY9i6g,24036,381486,91808378,491,22,People & Blogs,high,low,high,4
UC-PLG1ENeQbKbmhNPdYn3Ww,9378,13296,497022,94,27,Education,low,low,medium,5
UC-POFItrbFqDPowrLaetH1g,8500,11329,225353,9,28,Science & Technology,low,low,medium,1
UC-PQkVq-OwH2s5L6X0emrmA,250,2553,101110,32,24,Entertainment,high,low,medium,1
UC-PdH-ZSbIGsM6jK1mq55-g,364,1746,274155,158,28,Science & Technology,high,low,medium,46
UC-Q5X9Z92f4ngZj7KPFJZng,2691,25720,3057912,110,10,Music,medium,low,medium,1
UC-QrrwODsIxlPMlx5VP8Hsg,470,11424,13586130,715,22,People & Blogs,high,low,medium,17
UC-QtuTrhjsYFiZMg6QHdpAA,67,3857,272373,314,2,Autos & Vehicles,high,low,medium,21
UC-RNnb7afAhYax8AUUI61mg,0,11930,2063853,107,22,People & Blogs,medium,low,medium,14
UC-Rx3ZBduH5k5hKdFydbrEQ,21181,19221,819789,21,22,People & Blogs,low,low,medium,1
UC-TC-UkMTd0x_RIEwzGp9qQ,470,2536,517009,184,28,Science & Technology,high,low,medium,1
UC-UoNg9h4FmFy8R7E5TCyuQ,13452,209142,28569420,1357,27,Education,high,medium,high,19
UC-V-0JQE786dt4U2HuywJ6w,6614,53580,25863017,443,19,Travel & Events,high,low,medium,51
UC-V9Mloh_jF5xoSLKF46sVQ,3809,54687,6811885,217,26,Howto & Style,medium,low,medium,6
UC-YYWFue-XGVcub2xyZE_qg,49168,603040,91161622,2986,22,People & Blogs,high,medium,high,85
UC-ZMC8rZqGe0gVAkiCtgHnA,808,14469,2503325,1408,22,People & Blogs,medium,medium,medium,1
UC-ZjYoUDJF1Yd8bHyH-Hr9A,69,2901,703349,324,19,Travel & Events,high,low,medium,2
UC-adSEOQWFRYWw8JfHb7yUA,5748,45674,9387296,280,22,People & Blogs,medium,low,medium,2
UC-ahrcxWt9aMEsGL2OCw_Xg,87738,239270,64516419,898,26,Howto & Style,high,low,high,3
UC-bSQgmOmTd3WAjE4lnJTxg,15347,2321,168285,60,22,People & Blogs,high,low,medium,1
UC-bdz-5EeUPT7lp7oSg4D5w,11997,110916,11786413,5712,22,People & Blogs,high,medium,high,150
UC-dM1sglRNwd9JiCIoVQz8g,82910,766134,34327380,166,26,Howto & Style,high,low,high,7
UC-dfLnidWYaOFYvcFeK8E2Q,127,3401,359987,234,26,Howto & Style,high,low,medium,5
UC-fTSP7yn4ZTD9EAHDCqq3Q,16368,402918,25827234,69,24,Entertainment,high,low,high,12
UC-fWwhwAytZ6_BqYpu750CA,206,3565,1370015,508,10,Music,high,low,medium,19
UC-hWpkn707VYLhO4L-WhmrA,762,1781,108974,37,23,Comedy,high,low,medium,1
UC-iQQ846V_3MCl2Xp87uvuw,98,2201,653024,91,17,Sports,high,low,medium,1
UC-j09Yhbroz6f4bXSpgM49A,6260,26361,3949080,349,27,Education,medium,low,medium,1
UC-j7LP4at37y3uNTdWLq-vQ,241089,2389306,424219674,203,24,Entertainment,high,low,high,19
UC-k3KOPPMa6a4ZlngkovAKQ,10,15544,4023069,137,26,Howto & Style,medium,low,medium,1
UC-kL78-NleqU9jHCo9pQ2Gw,43,36370,39003286,1071,27,Education,high,medium,medium,6
UC-lz3wk_zlDpgq4iXp5Hl-g,2439,11969,457244,316,28,Science & Technology,low,low,medium,3
UC-nKNa_95pkc-NzCyzGrC-A,2443,140251,38996598,1800,22,People & Blogs,high,medium,high,3
UC-nczZrGUTE0C4Fw0kkaIwQ,1203,23682,5441866,114,22,People & Blogs,medium,low,medium,1
UC-ndMpwMJ1cEgAd1pPXm8tw,3921,84580,9559410,92,24,Entertainment,medium,low,medium,1
UC-o-O35C7Vx08UVli-AghFg,236,3892,1102212,4,10,Music,high,low,medium,6
UC-sQHCc7Rp_R34dCq_2NC2A,4767,29329,8079146,11,22,People & Blogs,medium,low,medium,1
UC-srt__j65TFetABdgThfAA,1052,11138,1912823,25,27,Education,medium,low,medium,2
UC-vd-0Zv-pfoaXSD6AlgODQ,4657,42549,7678202,399,10,Music,medium,low,medium,10
UC-w2vyX6uMb8k4AZwnQN_MA,27976,386455,64903007,552,26,Howto & Style,high,low,high,1
UC-wdveKCDbbjK0_rzR2XhVA,6004,94026,19363800,1054,10,Music,high,medium,medium,29
UC-xDn3-rqGukR85SMoFD-OA,23806,141285,14608910,921,24,Entertainment,high,low,high,39
UC-xvkNt5RUK-ElrleIPz-8g,3223,73506,2809691,359,26,Howto & Style,medium,low,medium,3
UC-yR676pcG4BNoRzX9gMnfw,589,2282,295888,150,24,Entertainment,high,low,medium,13
UC-zjaTNRnVbLUIWRTxwZRog,8175,18094,1101408,89,24,Entertainment,medium,low,medium,1
UC-zscGF_qCFm_Hmx4nnEAbQ,13156,256164,72312150,86,24,Entertainment,high,low,high,9
UC0-y9lFr9HdDbctpXXVTEWA,19800,456574,53473072,1562,28,Science & Technology,high,medium,high,3
UC01QQQlM3CepDAvgcIseUIA,110054,408033,122177801,1042,25,News & Politics,high,medium,high,73
UC01uG2VbwTd3j0gFJ2txsBg,11376,58576,8416958,611,24,Entertainment,medium,low,medium,1
UC02E5UMn3JCkrEaD9KJqMSw,61,2698,115236,37,19,Travel & Events,high,low,medium,2
UC02J4ThwrAcSA8GsoyZTFxQ,36378,480040,282925714,2444,24,Entertainment,high,medium,high,1
UC02V3oC-bmxASXrrNHwjlig,24597,18130,1345065,57,25,News & Politics,medium,low,medium,1
UC03dpQSlXvPjc5OVDF2hAdw,400,6897,154727,194,22,People & Blogs,low,low,medium,1
UC04mtbNR06ccRQZ3zTtZcxw,1399,15319,1520783,332,28,Science & Technology,medium,low,medium,1
UC06Ua_VICma2EXWMFqtsoiA,52372,561545,334815524,1606,22,People & Blogs,high,medium,high,20
UC06hJSnZGdrSiJ-4_nBEhbA,941,3333,237970,117,10,Music,high,low,medium,1
UC07CHp5ikd-AyafR4J2LWkA,36547,675970,46739502,569,17,Sports,high,low,high,3
UC07QCablNTrCKvBQ_ThWoWQ,26624,34837,1320183,159,28,Science & Technology,medium,low,medium,1
UC08NOPzFDFsfy5Iu6-vCfQg,2216,21464,515753,68,27,Education,low,low,medium,7
UC08Qwt09fruX35jErUoyaXA,1326,2198,105321,63,24,Entertainment,high,low,medium,1
UC08_iFhvPMVYQyvQUjSIDYQ,4199,6246,187732,79,26,Howto & Style,low,low,medium,1
UC08cMinZdWnYs80UVmFaPTw,163,2789,104794,274,27,Education,high,low,medium,15
UC08tlJ0-AfpFWtd_uonZ0oQ,267,2194,469645,41,22,People & Blogs,high,low,medium,1
UC0Ax6EVYS6xaIS4h2yzfhpA,479,13300,5233736,350,10,Music,medium,low,medium,1
UC0C3kipEr72V6BYM_fvabdg,36341,339155,44128178,645,24,Entertainment,high,low,high,1
UC0CRYvGlWGlsGxBNgvkUbAg,127225,1086913,112439897,334,27,Education,high,low,high,12
UC0D-9f6I46bQQn8_e18fR8A,52786,660531,41885742,343,28,Science & Technology,high,low,high,1
UC0DWi242scdI_juUbonOA7A,15210,127475,32309892,132,10,Music,high,low,high,2
UC0EyYqsDSQapzgGuTD7kuMg,1983,23232,1682621,69,26,Howto & Style,medium,low,medium,4
UC0FMXz3IdZtu3F-DXjsTWoA,2750,197604,19483244,59,24,Entertainment,high,low,high,1
UC0Kvj5G75O75yEvE1UdPhgw,429,7632,920151,325,10,Music,low,low,medium,16
UC0L11aKTYFCVvQ07cKq3AxQ,2947,55305,15796076,195,28,Science & Technology,high,low,medium,2
UC0M6KBJvToQqm5hnPs1yHOg,4589,116819,20402360,143,24,Entertainment,high,low,high,1
UC0MOuJqDcd_IaUjxPnw5H6Q,3070,5649,253205,148,20,Gaming,low,low,medium,9
UC0MQ6oRnJG2hynqtKqQA0yQ,343,2005,53985,37,28,Science & Technology,high,low,medium,2
UC0OaM4UrqeNoq1O7B1Vi3tA,2167,20874,7290149,84,23,Comedy,medium,low,medium,3
UC0PKLLmL8pIJLjOI1gBH_pA,320709,3051405,819434093,984,23,Comedy,high,low,high,86
UC0PTktRYpZXb6On0_zFKWIg,50164,1166371,368782676,401,24,Entertainment,high,low,high,2
UC0SIHdEcfg4BsM8X5tixwHQ,32739,363385,143265974,12795,24,Entertainment,high,high,high,141
UC0TJMLgzfQt-5blR9SFNxSQ,18621,228930,13712192,87,22,People & Blogs,high,low,high,1
UC0TdnQXBqh-4-vnAm-Uxx3A,9617,112855,8506527,519,24,Entertainment,medium,low,high,84
UC0TnheMjxo3Ohr_0HvwiTaA,11591,58088,1873947,101,24,Entertainment,medium,low,medium,1
UC0VVIL0ibIGCtFGunc5_EZQ,548,12696,3594166,327,22,People & Blogs,medium,low,medium,1
UC0W7GwtFMcJN5oSwfD9P3Ag,1464,9420,908576,292,10,Music,low,low,medium,1
UC0_AQr6lbeMDGi3VYMPIUaw,97,1601,436046,30,22,People & Blogs,high,low,medium,2
UC0aUX3QHJPaNeRY3kgCYUUg,1203,33587,1749106,57,22,People & Blogs,medium,low,medium,1
UC0ab3ws4vygYDMtZfaJWJcg,24678,597119,35456180,433,22,People & Blogs,high,low,high,2
UC0ai1PqcO6132RR4taO_CLw,930,7558,149930,91,22,People & Blogs,low,low,medium,6
UC0av3vihDBTvW1fkbYelhaA,12490,27630,5010926,167,24,Entertainment,medium,low,medium,1
UC0bWmximNS6APIG6SqxW6Jw,472,2745,151345,122,10,Music,high,low,medium,1
UC0bo-N1OlFnmMNIwo_ahpdg,499,6323,1045890,134,28,Science & Technology,medium,low,medium,3
UC0c12B5-HYiyEDBGV5MXJMA,34310,732931,361731137,125,24,Entertainment,high,low,high,2
UC0cHVZAeY_qxI7Z-7nJFXkg,133594,895158,162984246,149,23,Comedy,high,low,high,20
UC0ccb5ytiOMAjsfQeEkzxlQ,697,21923,3309194,113,28,Science & Technology,medium,low,medium,1
UC0cm056FVmGWXu4-9-kPT0Q,1054,1405,44449,39,22,People & Blogs,high,low,medium,2
UC0dHIBxnXvA0C9D07kMlEEQ,358,2045,328777,39,10,Music,high,low,medium,1
UC0dMnrnZSkquKMN4fCRYgHw,69,2887,262063,290,25,News & Politics,high,low,medium,17
UC0eYzMXfJxYpzAsoABQJ0wQ,2552,35360,5267880,393,28,Science & Technology,medium,low,medium,1
UC0eZLJVWzWGd9nFh-u7UaoA,2449,7513,208354,36,22,People & Blogs,low,low,medium,6
UC0esLOwJIzEnPlKHJRivUAA,231,15693,5598742,56,26,Howto & Style,medium,low,medium,2
UC0h1SjZLR_D6KV3czLHN7Ew,36435,475246,23931698,83,10,Music,high,low,high,7
UC0kHO4H-Snzyk9KWaVzCPLw,17193,11643,25003,16,24,Entertainment,low,low,medium,1
UC0l1f1xQNLmwDRdlOouCcvA,615,4832,453940,47,19,Travel & Events,low,low,medium,3
UC0l8BLxCUDMVePZDbD4I9gQ,12297,10265,396363,89,22,People & Blogs,low,low,medium,1
UC0mtJgx8mB7aZkGx6V3vaUg,5132,44332,3091864,643,26,Howto & Style,medium,low,medium,12
UC0n6U6Zh_kqZacbta1iDS_A,-58321,59497,28871185,109,27,Education,high,low,medium,2
UC0nChSOqQbA6tAi8_K7pD_A,13322,72569,3469783,51,26,Howto & Style,medium,low,medium,7
UC0o0KmQHl0VAFUoOCUBcbdQ,12980,270620,184118111,3712,24,Entertainment,high,medium,high,2
UC0omAfL-YYIVOm-wYWg6PCw,4441,94280,5795817,499,24,Entertainment,medium,low,medium,1
UC0pyoo_KSiNpX5ad8CEflLA,1652,11626,2473584,32,10,Music,medium,low,medium,1
UC0qKA7PHkjIH3KhYI-PVL9Q,2990,13853,1655079,125,24,Entertainment,medium,low,medium,2
UC0rSSKP0l01wnPIdRcY_prg,5896,62277,17631816,211,1,Film & Animation,high,low,medium,1
UC0sAMoIz3JdT916LhClwMSg,16,17112,65855,65,24,Entertainment,low,low,medium,26
UC0sn1Ynk-UNwoptKOblQX6g,1112,60567,7851267,528,25,News & Politics,medium,low,medium,18
UC0ssOvUF-puIoNNphwtDG-Q,226,9717,5465856,825,2,Autos & Vehicles,medium,low,medium,1
UC0t2alt1lJ8BroEgdPFOa7Q,16222,399333,18182017,417,27,Education,high,low,high,32
UC0uCLTDtGqw3djXkZbrO-vw,2974,41276,6613770,81,27,Education,medium,low,medium,1
UC0xy57mSU-n84hMZvBsrJyQ,75,2584,1025471,170,24,Entertainment,high,low,medium,5
UC0zD4Ke2ej6_NGULcTmdgww,20032,213070,80530043,172,24,Entertainment,high,low,high,3
UC1-qek0HE8jXiLPxiIKW9gA,-2447,2517,46547,11,23,Comedy,high,low,medium,1
UC11A1_yWo5kaotH2R52Ycpg,88512,496391,155797178,8,27,Education,high,low,high,2
UC11F2Gj_XunKwqTUTjw_E6w,3384,24237,1594213,343,27,Education,medium,low,medium,34
UC12aGqPH1mmBEgZ5X7a2fEA,934,8987,1990182,268,10,Music,medium,low,medium,1
UC13_49vPnAQZ-t907XslmZQ,4037,19446,5135655,134,15,Pets & Animals,medium,low,medium,9
UC145kzoc5_vUobCEVI5MPtw,5349,68311,17367982,240,24,Entertainment,high,low,medium,27
UC153Tp1eyf1fDF8-n4H00pw,234,1509,57930,137,27,Education,high,low,medium,13
UC155cQcO4XVLimywTrImzsg,3748,31731,2074361,102,17,Sports,medium,low,medium,1
UC15JE1NIOL6paQ_wvC9SEEg,11124,5246,304269,118,19,Travel & Events,low,low,medium,1
UC15sF31QE-7rooIlSKnTq_w,49439,574656,44794983,268,22,People & Blogs,high,low,high,42
UC16GBBeEQ_ICyTyikxncAOg,19053,53297,2973123,172,26,Howto & Style,medium,low,medium,2
UC172zNnp04eiWd6-6qgXB9w,15016,13825,2154600,7,24,Entertainment,medium,low,medium,1
UC18nuLbEDTvY9sodcM1UJ5w,1277,3289,170308,5,22,People & Blogs,high,low,medium,1
UC1B-cxxtQJ3HKIsYNbDLjvw,236,3106,201509,76,22,People & Blogs,high,low,medium,15
UC1BCIquU4oyLOmXNjY2Pswg,958,13293,7716295,14,2,Autos & Vehicles,medium,low,medium,1
UC1BELda4F1rXNNLHwnU7j8g,34384,188143,7488501,167,27,Education,medium,low,high,1
UC1BQgioqNLF2E2G7gNQIROA,1441,2830,757914,106,22,People & Blogs,high,low,medium,1
UC1CLbnvuZei6GPJ9xeRu7VQ,246,3169,894025,564,27,Education,high,low,medium,1
UC1ECxltlk6LnrIddohRw6Sw,10601,21578,1255411,54,28,Science & Technology,medium,low,medium,1
UC1Eu_uzKxn54UCMB0MWyI2A,-6425,9341,191986,153,2,Autos & Vehicles,low,low,medium,2
UC1GC-AoUwMvJDLFLlGxJO_g,10996,177601,51475341,290,1,Film & Animation,high,low,high,9
UC1H2c96zDvsx6IbkznZZdZA,274,6298,499259,68,28,Science & Technology,low,low,medium,1
UC1I8GP979ONgp-uNkyl0x2A,504,3478,319696,41,22,People & Blogs,high,low,medium,3
UC1KX5wQ8yqJTByEsd2KhrLA,11836,461421,154959843,64,22,People & Blogs,high,low,high,1
UC1KshfykvG1x4ljYUvS0GEw,8471,96875,21691829,315,10,Music,high,low,medium,2
UC1LAjaWsyX7eMehnipF4-Zg,15616,126596,26202475,319,10,Music,high,low,high,4
UC1LHjYmmM-zMTyt-9yc4bLw,269,3543,465456,342,24,Entertainment,high,low,medium,27
UC1LuR6FKmRSTBze8l-I6UyA,44,15362,2850418,159,28,Science & Technology,medium,low,medium,2
UC1NF71EwP41VdjAU1iXdLkw,231797,1488183,178492469,9782,25,News & Politics,high,medium,high,66
UC1OCwrkAtR88-smXI5Cyv2Q,24677,195887,22356958,148,22,People & Blogs,high,low,high,1
UC1OcFjKn0-23trWn9ndu54Q,321,15841,1753189,69,25,News & Politics,medium,low,medium,37
UC1OoiQv0yQNkX8JLNfoR7tg,11409,15476,767394,98,26,Howto & Style,low,low,medium,1
UC1PbTiHsjT-Q_9OWHBHf-ZQ,62552,456038,37899686,67,22,People & Blogs,high,low,high,7
UC1Tcgy-sSGnKXoGfzeAIhWQ,12943,225401,42495569,429,10,Music,high,low,high,27
UC1UM5laTN1fiSwnSxS_0MBQ,838,23686,1948759,210,28,Science & Technology,medium,low,medium,1
UC1aXz98Y7RIuKw-319BnKwA,36,1536,27001,58,24,Entertainment,high,low,medium,3
UC1cdlZqdt4a_sQ-DUPSzWmg,7733,228065,137534676,8632,24,Entertainment,high,medium,high,45
UC1dNxuennyqpDAlKAyaNDxQ,169,2632,228682,438,27,Education,high,low,medium,26
UC1fW5npUMWzg4NziCyTwReg,834,7164,705732,511,28,Science & Technology,low,low,medium,19
UC1gCLMmUcn5Pn_WEsKCAx4g,39800,62717,1934972,64,22,People & Blogs,medium,low,medium,4
UC1gGmZ1cJMHgrroYN99hRDA,27,8530,1150501,181,24,Entertainment,medium,low,medium,28
UC1h_noxNwsvH7B94UD0GsBA,420,4246,445740,215,28,Science & Technology,low,low,medium,1
UC1hjACt05RLV-_qAFlvzMsQ,1755,21733,2420185,777,28,Science & Technology,medium,low,medium,10
UC1jL4-lnYksujM4SMx6JmeQ,1879,21084,2668026,2675,25,News & Politics,medium,medium,medium,301
UC1kEG25q-JE69jVw5ITXCrA,2080,140569,10404792,574,27,Education,high,low,high,10
UC1lPnfuNdutbkLTAnltZ_LQ,97801,1107947,300923137,7534,22,People & Blogs,high,medium,high,2
UC1mziZzo-PrFx054WzShSMw,6435,117038,4719683,99,27,Education,medium,low,high,1
UC1n9asjArhhGERn6FxSPAGA,65335,368400,21743881,375,26,Howto & Style,high,low,high,5
UC1oAsgMNbphSMFGZt9CrWiQ,223,11324,1793627,258,22,People & Blogs,medium,low,medium,1
UC1oNjJwLnhj5MT9l1A1K9rQ,166961,173460,5118011,61,22,People & Blogs,medium,low,high,1
UC1oWBLMoq5M4_Fem34fNxYQ,16442,159929,30245392,1229,10,Music,high,medium,high,1
UC1ob9lnXyd1aZ-Pi_TW7bxA,6108,37218,3168957,1145,17,Sports,medium,medium,medium,1
UC1pGgQdy0YB8fgpjonWuHhQ,24382,173460,86198590,696,24,Entertainment,high,low,high,262
UC1pJ74V_1-wEx5ysN034CaQ,998,7272,379700,58,27,Education,low,low,medium,3
UC1pR0vhO_jGQyBvNN30Sphg,0,14255,584058,90,22,People & Blogs,low,low,medium,2
UC1rROIMcWZV3WKrtlf9UnAA,4137,27102,3704676,42,24,Entertainment,medium,low,medium,1
UC1sAQpHqHy4SV6ZSu98xGmg,11768,286339,199743948,20889,24,Entertainment,high,high,high,228
UC1svku76q4PSN1or6g4Mjtg,112,1966,438022,133,25,News & Politics,high,low,medium,3
UC1tVU8H153ZFO9eRsxdJlhA,286730,2728946,117046701,365,28,Science & Technology,high,low,high,63
UC1tnj_v8Sn-hWERFvqSjBWQ,166632,1073454,261514997,46723,25,News & Politics,high,high,high,116
UC1xDmMOZbGir44DYfcrRr-w,9042,94134,39886149,602,24,Entertainment,high,low,medium,15
UC1zuFB_BXPhnBZ13RPBKpPQ,4137,3626,341806,35,24,Entertainment,high,low,medium,3
UC2-6DmcAYrEFFKr2ZZtl0xA,40712,79092,31441294,79,24,Entertainment,high,low,medium,2
UC21Ar8d5ViEnpjIcVoup3lA,253,1746,149113,468,22,People & Blogs,high,low,medium,42
UC21PKP0xTG1CpLNnEicolKg,3274,8224,915418,514,1,Film & Animation,low,low,medium,2
UC22dH2oRasje--S118lRGhw,2286,40591,4641167,253,27,Education,medium,low,medium,1
UC22p3kj_bSJFwC4nhTGDPMA,38,2106,279349,272,22,People & Blogs,high,low,medium,1
UC23Ruz2m9qndD2rEK3L1-Cg,7490,2974,43018,13,22,People & Blogs,high,low,medium,1
UC23v3gGUwFSslufLfXFgATg,93,13601,2775762,968,10,Music,medium,low,medium,1
UC26kyhyDjFM7zTXCzfwqM-g,10234,24980,675668,21,25,News & Politics,low,low,medium,4
UC27FroHf6MNL8AONmhHMFGw,21231,67209,12607746,1394,25,News & Politics,high,medium,medium,5
UC27jjhJOQYjVpiaUaGiXVzA,811,4115,924707,40,20,Gaming,low,low,medium,1
UC28146z76kAUez5plQgZYYg,1202,4814,1565351,20,2,Autos & Vehicles,medium,low,medium,3
UC28cgT43PINNnZEV5S8sSLQ,16,2303,1124130,334,26,Howto & Style,high,low,medium,9
UC2BJGZ9LX6qk7AB6cmM-vTA,165,3388,1813493,1019,19,Travel & Events,high,medium,medium,2
UC2BkB51PseK954fNmjDo17g,93,8143,1198290,132,19,Travel & Events,medium,low,medium,2
UC2Bwv5iG_5QN0y53R2VZRpw,3159,13029,4295428,531,10,Music,medium,low,medium,29
UC2CHMLi2BnKUc2yIXXCfbmw,-6315,6331,692279,272,28,Science & Technology,low,low,medium,75
UC2CQx0rPH_h3IqWGCAbQzQQ,15501,418084,97993406,1307,24,Entertainment,high,medium,high,17
UC2Cc1Eqys3sVDnDy1dr8PRA,23888,221718,13146257,145,26,Howto & Style,high,low,high,2
UC2Ds1tFXRWmr7xrCT1ukc4Q,2880,109738,11774373,779,24,Entertainment,high,low,high,57
UC2EE2Rzfk9qjdRtnKOQW32w,22303,114276,6959974,35,23,Comedy,medium,low,high,1
UC2EFhJTQESvy0vT3u-sxofw,263,49913,9649203,157,20,Gaming,medium,low,medium,4
UC2EhA8EnLxOCbgn3nW2-OjA,16750,188801,60605844,6308,24,Entertainment,high,medium,high,1
UC2FhLafDQu4CJ-h_xwMuivw,41561,254789,34848547,1157,10,Music,high,medium,high,2
UC2G0tN_ac-uzVQCQ3Ep4avw,3682,18778,1486688,34,23,Comedy,medium,low,medium,1
UC2HXYen7TEz8aeLqcRLxeBA,76,2855,134209,109,27,Education,high,low,medium,12
UC2HzbasU3yzdmQ7q2oM3kwQ,11541,24663,1741244,39,25,News & Politics,medium,low,medium,4
UC2J1Ytfh69Tca-4-Ur1bjaw,80283,607563,169258885,241,27,Education,high,low,high,2
UC2K9OiB6zppVfbWhj2AvLZQ,305,1471,421405,44,22,People & Blogs,high,low,medium,2
UC2L5DZOoK8PCPu1UUCev_pg,17899,222750,13711857,9,22,People & Blogs,high,low,high,4
UC2LJK40k1VLYGcfpVd3LkQQ,4121,103761,5076235,77,1,Film & Animation,medium,low,high,1
UC2LRE_9HHA9cB--dVmmLT0A,16,1529,14187,19,22,People & Blogs,high,low,medium,1
UC2M6jhNC3iYaFxUefATA0Bw,272,112025,16631072,187,24,Entertainment,high,low,high,1
UC2NcK7vYSW6FU1QbpqlGJrg,69,2155,314059,22,24,Entertainment,high,low,medium,1
UC2OUb6JWVYjbZHqQ49rkxgg,1550,11331,1666519,95,26,Howto & Style,medium,low,medium,6
UC2PKHjgNzCpQW_PjrNIL_7A,22497,206039,20217459,3071,27,Education,high,medium,high,19
UC2Qnwft-zgMDdlgglYZpASg,34647,1374022,60067872,320,26,Howto & Style,high,low,high,1
UC2RyqlP3uG_oV88LPazkGvQ,840,12774,2160059,88,26,Howto & Style,medium,low,medium,2
UC2VVE3SEPWA8u_YAUiB8NRQ,30,1628,202451,206,27,Education,high,low,medium,11
UC2XCO0-wiZHeyswwgsVvIKA,81,18210,2751117,127,27,Education,medium,low,medium,21
UC2XFKF_P8tqOUR45WbF1Lsw,895,13008,877888,125,20,Gaming,low,low,medium,1
UC2XcxEiqpiYDhsQezZN1hSQ,14,13472,550357,182,27,Education,low,low,medium,2
UC2Y1C5Y-IAPPOljRi2LmoVg,1001,9216,578623,15,10,Music,low,low,medium,4
UC2bgPCeViczOgAoPJLr_iug,23280,395738,38956904,162,26,Howto & Style,high,low,high,3
UC2cLV5sDEtA6G_USPo-MJ-g,17,2045,245009,45,24,Entertainment,high,low,medium,1
UC2dguLGQRAIaXA4yum4G9qw,18470,150596,32729141,463,24,Entertainment,high,low,high,1
UC2gOIrKfDbpAxwppDFBWIlg,-11522,11856,2628070,64,10,Music,medium,low,medium,1
UC2gQaoCItAC-IbT8RNwWqLQ,44545,514203,29255490,169,22,People & Blogs,high,low,high,24
UC2jgECfgr_rIz-Suu_yZRMw,8881,57108,7443721,1208,28,Science & Technology,medium,medium,medium,4
UC2k9JH38F3byw92XaFuoPuw,4742,73954,3228669,103,27,Education,medium,low,medium,2
UC2kFstC4mrjNPKQW3qU19hQ,1700,15076,4293650,66,22,People & Blogs,medium,low,medium,1
UC2ks1FKG32yeLReg9YFDxJw,2554,23749,2130405,82,24,Entertainment,medium,low,medium,3
UC2laTN1fRhV4gzg8jCBxc7g,-869,726162,25969206,151,10,Music,high,low,high,1
UC2ldcEtbR7cFYadgrnW3B6Q,841,80866,6051169,656,28,Science & Technology,medium,low,medium,2
UC2niR7kf9LyCEecicFuFbKg,3665,41452,7458337,91,24,Entertainment,medium,low,medium,2
UC2osNWYoEDO5qgDNkHIEzag,8337,15383,912478,56,28,Science & Technology,low,low,medium,1
UC2pLzhDPcQHxLhEKpIQZzMg,337305,4335428,816683565,4193,10,Music,high,medium,high,7
UC2rhYnyZI41VUXzYDdDBwrQ,11698,303500,14872934,304,26,Howto & Style,high,low,high,1
UC2sUBphosprdaLRT_tGLOhA,73916,671099,57318412,641,19,Travel & Events,high,low,high,26
UC2tRhjkebu5aSo0IYcTtX2Q,151981,1884066,825878159,69404,24,Entertainment,high,high,high,147
UC2ufv48-2TiQDMulumMzIFA,569,4432,509214,65,27,Education,low,low,medium,5
UC2vQ4glcPIAVILGZFLvBjVg,191,5179,924013,40,22,People & Blogs,low,low,medium,1
UC2vhOk3djKKPYdvYN_3CBQQ,7522,29568,3327904,32,22,People & Blogs,medium,low,medium,1
UC2wQZsCvTlldiKkP1rAA7VQ,7393,4436,541705,6,22,People & Blogs,low,low,medium,3
UC2xOpz8OuO9KjDCrnlrQSuw,124,2930,125620,250,22,People & Blogs,high,low,medium,1
UC2xbNCFnf8cjI1D02WnN_wQ,16730,180949,28861789,430,1,Film & Animation,high,low,high,25
