channelid,last_30_views,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,sub_range,last_30_eng
UCAea34p7ZFF5Lqzky2u9Dxw,25395,48784,350869,18,22,People & Blogs,low,low,medium,7
UCAfi-C9qOKr0WIP5vomHcUA,132610,409493,40834694,52,10,Music,high,low,high,5
UCAflTQOHfpuX3tEvN5mkLTg,1923,50848,4688199,236,2,Autos & Vehicles,medium,low,medium,1
UCAfnFovHHgY5Als-5jnjb7g,1323,27046,4622623,58,19,Travel & Events,medium,low,medium,2
UCAg-0-3j4TWNG04WB_eGX2g,528,14924,11712183,147,24,Entertainment,high,low,medium,1
UCAhu0Kuizfz-w7ntdrEjDEg,170501,1545301,56792915,688,28,Science & Technology,high,low,high,3
UCAi4Hjr4_WVGcH0zxes8yXg,4393,26738,6736128,88,22,People & Blogs,medium,low,medium,49
UC1GBYS8_8cXRDM3yOYHeyWw,76185,831639,54287792,49,10,Music,high,low,high,2
UC1JVGWJ3oMgb1Kk_renHoLw,133,4361,311340,586,22,People & Blogs,low,low,medium,11
UC1JbS7l6VKXtzHKuOwamP_Q,15713,331513,124287484,1471,24,Entertainment,high,medium,high,1
UC1KIaiYpv7FGIGMT9c5RL1g,25170,251956,76037064,1201,24,Entertainment,high,medium,high,1
UC1KfzGTdekKaN5Xin0KZ6oA,18787,140034,37822753,72,1,Film & Animation,high,low,high,8
UC1KiXzFch_HKhkdg-Hxqo1Q,256,56324,4817459,61,27,Education,medium,low,medium,4
UC1LWwqJlJ4nv8GCNa75vV-g,117,1555,55132,8,27,Education,high,low,medium,1
UC1Noax2Na7Cr6g7KniuaFCA,12045,60355,6951602,43,22,People & Blogs,medium,low,medium,1
UC1Nu9R_F6NCKoo7vcE-Q0cA,4026,12156,4581132,76,24,Entertainment,medium,low,medium,15
UC1QFyIrUmkssZYsBcZ0DvNQ,579,24410,1163979,38,22,People & Blogs,medium,low,medium,2
UC1Rppx2vOUasU_gxG5vStLQ,277,10897,1681271,301,26,Howto & Style,medium,low,medium,2
UC1RxLkt2BHa_hXTv4nl_5LQ,536,3192,401716,165,27,Education,high,low,medium,144
UC1SHkjVltYToX-glwp1-n6w,23884,101021,14139270,5,24,Entertainment,high,low,high,1
UC1SIHWXrKQPpNok0WZDO_Rg,16283,34427,5783150,312,22,People & Blogs,medium,low,medium,1
UC1S_xAx78_14moPrtAuaYYw,10932,167529,11484214,100,22,People & Blogs,high,low,high,1
UC1Tzg0vRHb_ChdpVk0eSUXQ,3085,54566,5503007,212,22,People & Blogs,medium,low,medium,2
UC1WjDa-U0NpX_qNC3Xh2szg,462,5502,382261,67,26,Howto & Style,low,low,medium,5
UC1WnfTRB7ybEyHzNYJ4KpYw,293,2185,277552,112,2,Autos & Vehicles,high,low,medium,5
UC1XGYgDcEckba5g7oN5yLAw,8130,7945,408887,28,26,Howto & Style,low,low,medium,1
UC1XLm5SOh5ehSRUsTHphiIQ,244,3308,1041106,158,10,Music,high,low,medium,2
UC1ZJMxWLx_JSRGCzJ1V7VdA,4315,81789,4828767,360,22,People & Blogs,medium,low,medium,4
UC1Zbx1tLssKu3c5SieYyFfQ,3842,28208,2087309,253,10,Music,medium,low,medium,4
UC1ZcCUayVY7_1n7tO3DYmtw,4477,43900,5516899,38,27,Education,medium,low,medium,1
UC1_-cyLlwnmTAesbMgruDpQ,180772,2008445,168598384,79,22,People & Blogs,high,low,high,21
UC1a8wWli6U6ThNUl-7aC6iQ,94,2628,1815540,448,28,Science & Technology,high,low,medium,7
UC1awS02LXzIYVqlXAh5oqRw,54528,538885,50214932,100,24,Entertainment,high,low,high,10
UC1cOSwD_9h82IhN8vy9cADA,6760,46574,1608257,17,22,People & Blogs,medium,low,medium,3
UC1cdIiste8c1zTV-2R41VWQ,456,5942,812444,898,25,News & Politics,low,low,medium,17
UC1cpUUjMyMRYWQFLjZ7QS2w,-34,3199,275850,165,22,People & Blogs,high,low,medium,7
UC1eRYYIE2JXHBw-6l83bazg,300593,282946,7480184,112,27,Education,medium,low,high,16
UC1eSpLxXXvqKKNH8qabUazg,27042,144272,5821651,42,22,People & Blogs,medium,low,high,2
UC1fpu8N-DkmhqqwHTI5yxrg,257486,3328661,319668290,158,27,Education,high,low,high,9
UC1hLw8ODyvPWQT80zbDmsMw,15234,46559,5130821,546,22,People & Blogs,medium,low,medium,1
UC1kh5NicEuDjLl8jFtUug8g,2254,38259,1413091,149,27,Education,medium,low,medium,11
UC1lD8XydpH7hw0lZJHB38SA,4297,24021,26288138,1540,22,People & Blogs,high,medium,medium,39
UC1n8TysxGshKMfsUGNuUkew,1802,1692,721524,28,10,Music,high,low,medium,2
UC1nXTrb0a9MUMSlUYRMAzvQ,3909,14413,2109789,121,22,People & Blogs,medium,low,medium,36
UC1nzINVDug4PTjzECdaSxdg,414,3320,1304456,84,22,People & Blogs,high,low,medium,12
UC1ocm-li9_XmPeAEzQD0PLg,27490,663429,261484774,32015,25,News & Politics,high,high,high,147
UC1of9ELYwB623fWaAMRDVFA,430498,3753961,352817783,152,26,Howto & Style,high,low,high,26
UC1pp_Qo55IGoE4-EqoI6hGQ,432,6485,598925,65,28,Science & Technology,low,low,medium,1
UC1qH90EY-VZQYj8B2Jp18AA,805,27280,2687256,120,10,Music,medium,low,medium,2
UC1rdRKXhn9SkZtY5PzxW14g,1550,64744,25412795,2039,24,Entertainment,high,medium,medium,93
UC1rmLydHSWq-Bh2_3RIINHw,395,6950,2562765,443,24,Entertainment,medium,low,medium,15
UC1sEv3tQSgEEEYeTHnbfyKA,6111,66543,5820174,19,1,Film & Animation,medium,low,medium,1
UC1sGXuKLXb1NqMuxncRWvVg,1892,13036,964102,111,22,People & Blogs,low,low,medium,2
UC1tOEouPkJZ1qcLgX-U8YfA,44319,535036,166296865,1691,10,Music,high,medium,high,4
UC1tp00GCl6tVz_bAX5IBLcQ,537,7409,274814,31,22,People & Blogs,low,low,medium,1
UC1uO2n-iBrK8CRxa2gntReg,3639,41227,2691414,137,22,People & Blogs,medium,low,medium,3
UC1uQ68rozeO4hPZYce4CiVQ,701,207778,13372339,390,27,Education,high,low,high,20
UC1uqPDXlkicU_LRW3i05y5A,67,3972,465449,51,22,People & Blogs,high,low,medium,1
UCAjToOvdDrZmh9megz6nAsQ,89,2211,478549,273,25,News & Politics,high,low,medium,2
UCAkYgW-5XG5uPyaO9PD_I5A,91427,581796,64941106,210,22,People & Blogs,high,low,high,10
UCAkvk9geQFj4JinmiQ7IutA,9701,77475,9086365,565,22,People & Blogs,medium,low,medium,1
UCAmGmNMwqMNzIC-a6iOLagg,1072,262087,30183402,319,28,Science & Technology,high,low,high,4
UCAnZsrzzwqidu3wxbMl-GcQ,1886,4384,453501,186,26,Howto & Style,low,low,medium,1
UCAncxWG6Yt6u2xzmhnblncA,581,10601,542647,63,19,Travel & Events,low,low,medium,40
UCAo1T41FFx8gdFo4eSO9C-Q,1561,19876,2774772,1322,27,Education,medium,medium,medium,1
UCAoFnFqLNXJyU8tq7SFTR6g,34943,2124,13829,10,20,Gaming,high,low,medium,7
UCAoiEJ0JvPSFqRmsvnPW2PA,61,1525,533030,89,22,People & Blogs,high,low,medium,1
UCAp7tTvbmcSY691ENhWrz4A,7601,165732,12691406,1088,24,Entertainment,high,medium,high,60
UCAqpF8QIb7Q7UOGPDO89ppA,36,7950,1633353,142,24,Entertainment,medium,low,medium,2
UCAsFFKAH2Vd-bTbW65Wq-bg,8647,81502,5119389,37,27,Education,medium,low,medium,1
UCAstfkozACUOwhJz8wMedOQ,17553,88638,17176765,1442,24,Entertainment,high,medium,medium,1
UCAtYISjPM8p1-8ot1vf9kPA,8150,101131,5168448,224,26,Howto & Style,medium,low,high,1
UCAvSGKYCrmBxW4l9N9ZRhzA,27404,119251,7767532,563,22,People & Blogs,medium,low,high,75
UCAwv_EtbjgwQwezrS4z9WMQ,4784,149928,12738405,326,24,Entertainment,high,low,high,1
UCAxsrLm-tvE_ycML13ln8wA,-43,79331,11191612,269,24,Entertainment,high,low,medium,3
UCAyA5U71SrUw1mRYHpkqYWA,14594,144217,11155132,48,2,Autos & Vehicles,high,low,high,7
UCAz5xKY_0hb2TQhgN521MsA,7214,43989,15048344,3,10,Music,high,low,medium,1
UCAzEL2RIbMx7UZkazAIORpA,616,2303,166194,156,28,Science & Technology,high,low,medium,1
UCB2ek7Wp0DTYdQUFiQ_s_6w,107113,750474,56646463,79,26,Howto & Style,high,low,high,1
UCB2nAjurwj1ZuSpqZ07izPw,15696,170835,11559301,563,25,News & Politics,high,low,high,91
UCB4SvelHl4qjFSNYfxhp-SQ,512023,5963951,2597934388,15777,24,Entertainment,high,high,high,442
UCB5RN64XSTOL2AW-mpdPWPw,71538,69399,5988453,546,27,Education,medium,low,medium,81
UCB5WY70OkRgVUgIjE-1WkvQ,874,24988,821605,407,10,Music,low,low,medium,5
UCB6muxCk4KrvCeSTD9W0hxg,499,3663,250698,642,22,People & Blogs,high,low,medium,47
UCB6ztajkwjXivfuI3M5tpEw,2027,26025,3183563,635,27,Education,medium,low,medium,1
UCBA_F-UIqMsp__bd2DLE_Tg,244,2227,160371,17,26,Howto & Style,high,low,medium,1
UCBAhH8ma7VWNPWoiAOdrgUQ,2669,51022,18559378,399,24,Entertainment,high,low,medium,1
UCBBcmz0mN5OgyTgHU2itjqg,7693,62543,41862800,6212,24,Entertainment,high,medium,medium,4
UC--6mMCe6pkILT5hx5h_nFw,1731,7571,1069059,9,22,People & Blogs,medium,low,medium,1
UC-2m43NRsTtkFicEt9CDVgQ,572,6808,751651,236,24,Entertainment,low,low,medium,1
UC-3qE_ocECseTBVbFIl8rPQ,17499,9452,145639,9,24,Entertainment,low,low,medium,1
UC-5Yj4HIiruwkzFuLflxL_w,99176,1250842,299027930,2132,26,Howto & Style,high,medium,high,167
UC-5YqGRyV6WjieYdJer1ePQ,97,2068,432904,1189,25,News & Politics,high,medium,medium,28
UC-6CEEWNb4wpNKDmjLcOKUg,45,6987,1172763,141,25,News & Politics,medium,low,medium,9
UC-6tHv5d9mB5kt1m19eVXHg,110051,1131735,481760073,1749,22,People & Blogs,high,medium,high,25
UC-7oca4S_uhVQT2wo5tJz8A,627,33367,3140064,768,25,News & Politics,medium,low,medium,95
UC-8owgAy-Q93jKbOPoGYhjA,774,6676,118955,19,27,Education,low,low,medium,1
UC-900rLz13sdoH1pYH8pEqw,7045,10641,3547210,215,24,Entertainment,medium,low,medium,2
UC-ADYx1WHlgh0VK2ENIz_NQ,48745,356389,58485983,117,23,Comedy,high,low,high,2
UC-AN0NNeWtfMIx6vX0ewxrA,13548,247740,81349885,283,2,Autos & Vehicles,high,low,high,8
UC-AihpBVoG92jFWDHntF7UA,30242,164056,29963787,2457,24,Entertainment,high,medium,high,1
UC-BGHRF49pyyENL2xN_xCnA,7362,27889,2990826,42,10,Music,medium,low,medium,1
UC-CrELp9AtQArl8eXd0wxiA,1078,2723,388519,78,26,Howto & Style,high,low,medium,11
UC-DVxo-qVddYkIJKBa9P_Tw,11,2205,397872,1192,10,Music,high,medium,medium,4
UC-FQ03fTPycGPGRGXkVI8DQ,3920,44520,6684388,573,27,Education,medium,low,medium,1
UC-HvMsK5BU0gVM7ZFO8T2VA,-29,3686,243229,77,26,Howto & Style,high,low,medium,2
